City,Country,Region,Page,Section,Source,PageViews,TimeOnPage,TotalDownloads,UniqueVisitors,Visits,ConversionRate
Cambridge,United States,North America,/gallery/messi039s-86-goals,Examples,Linkedin,41,267,0,10,38,0
Canberra,Australia,Oceania,/gallery/30-years-cd,Examples,Linkedin,108,1188,0,60,180,0
Canoas,Brazil,South America,/download,Register,Linkedin,160,13600,0,80,224,0
Cardiff,United Kingdom,Europe,/gallery/messi039s-86-goals,Examples,Facebook,72,4600,0,40,240,0
Cardiff,United Kingdom,Europe,/download,Register,Linkedin,196,5160,0,40,80,0
Catonsville,United States,North America,/download,Register,Organic,10,79,0,10,54,0
Cedar Park,United States,North America,/gallery/state-migration,Examples,Linkedin,10,650,0,10,59,0
Champaign,United States,North America,/knowledgebase/sharing-views,User,Facebook,9,765,0,5,23,0
Chatham,United Kingdom,Europe,/download,Register,Linkedin,76,5640,0,40,180,0
Chennai,India,Asia,/download,Register,Organic,204,38340,1,120,366,0.0027
Chennai,India,Asia,/gallery/messi039s-86-goals,Examples,Organic,246,8580,0,60,234,0
Chester,United Kingdom,Europe,/gallery/messi039s-86-goals,Examples,Facebook,152,5480,0,40,104,0
Chesterfield,United Kingdom,Europe,/gallery/messi039s-86-goals,Examples,Facebook,196,3720,1,40,232,0.0043
Chicago,United States,North America,/gallery/forest-fire-hot-spots,Examples,Organic,35,168,0,10,55,0
Chicago,United States,North America,/gallery/30-years-cd,Examples,Organic,35,1000,0,10,50,0
Chicago,United States,North America,/gallery/voting-history-us-states,Examples,Linkedin,47,440,0,10,47,0
Chicago,United States,North America,/download,Register,Linkedin,45,138,0,10,38,0
Chico,United States,North America,/gallery/30-years-cd,Examples,Facebook,12,2750,0,10,36,0
Chico,United States,North America,/gallery/voting-history-us-states,Examples,Facebook,26,1430,0,10,33,0
Christchurch,New Zealand,Oceania,/gallery/voting-history-us-states,Examples,Organic,420,8300,1,100,270,0.0037
Chuo,Japan,Asia,/gallery/messi039s-86-goals,Examples,Organic,450,4600,2,230,300,0.0067
Cincinnati,United States,North America,/gallery/state-migration,Examples,Linkedin,37,1540,1,10,44,0.0227
Cincinnati,United States,North America,/gallery/state-migration,Examples,Facebook,26,950,1,10,28,0.0357
Cincinnati,United States,North America,/gallery/voting-history-us-states,Examples,Facebook,43,1760,0,10,23,0
Circle Pines,United States,North America,/gallery/cost-big-mac-around-globe,Examples,Organic,13,830,0,10,29,0
Clearwater,United States,North America,/gallery/messi039s-86-goals,Examples,Facebook,38,1088,1,10,44,0.0227
College Station,United States,North America,/gallery/voting-history-us-states,Examples,Facebook,48,1690,0,10,45,0
Cologne,Germany,Europe,/gallery/messi039s-86-goals,Examples,Facebook,192,9200,1,80,472,0.0021
Concord,United States,North America,/gallery/30-years-cd,Examples,Facebook,48,690,0,10,32,0
Converse,United States,North America,/gallery/africa-urban,Examples,Organic,25,1660,0,10,34,0
Coopersburg,United States,North America,/download,Register,Linkedin,43,79,0,10,57,0
Cordoba,Argentina,South America,/how-it-works,User,Linkedin,690,5280,1,138,258,0.0039
Cordova Bay,Canada,North America,/gallery/30-years-cd,Examples,Facebook,102,7800,1,60,264,0.0038
Courbevoie,France,Europe,/knowledgebase/all,User,Organic,368,552,2,152,528,0.0038
Culver City,United States,North America,/gallery/messi039s-86-goals,Examples,Organic,45,1050,0,10,55,0
Curitiba,Brazil,South America,/gallery/voting-history-us-states,Examples,Twitter,120,11600,0,80,200,0
Daegu,South Korea,Asia,/gallery/voting-history-us-states,Examples,Facebook,180,14000,5,60,580,0.0086
Dallas,United States,North America,/gallery/messi039s-86-goals,Examples,Organic,29,277,0,10,39,0
Dana Point,United States,North America,/gallery/30-years-cd,Examples,Facebook,24,1968,0,10,30,0
Davis,United States,North America,/gallery/30-years-cd,Examples,Facebook,36,1039,0,10,46,0
Dayton,United States,North America,/gallery,Examples,Organic,49,415,0,10,58,0
Denver,United States,North America,/gallery/state-migration,Examples,Facebook,21,1450,0,10,38,0
Detroit,United States,North America,/gallery/30-years-cd,Examples,Facebook,48,860,0,10,60,0
Dublin,Ireland,Europe,/gallery/messi039s-86-goals,Examples,Linkedin,280,17110,1,100,400,0.0025
Dublin,Ireland,Europe,/download-menu,Register,Facebook,510,8510,1,200,390,0.0026
Dublin,United States,North America,/gallery/messi039s-86-goals,Examples,Facebook,37,495,0,10,54,0
Duluth,United States,North America,/gallery/messi039s-86-goals,Examples,Facebook,39,1652,0,10,24,0
Dunn Loring,United States,North America,/gallery/messi039s-86-goals,Examples,Linkedin,36,1236,0,10,29,0
Durango,United States,North America,/gallery/30-years-cd,Examples,Linkedin,45,1700,0,10,44,0
East Lansing,United States,North America,/gallery/30-years-cd,Examples,Facebook,33,218,0,10,49,0
Edinburgh,United Kingdom,Europe,/gallery/voting-history-us-states,Examples,Facebook,96,4880,1,40,160,0.0063
Edinburgh,United Kingdom,Europe,/examples,Training,Linkedin,120,2412,0,40,120,0
Edmonton,Canada,North America,/gallery/30-years-cd,Examples,Facebook,132,9852,1,60,210,0.0048
Edmonton,Canada,North America,/thanks,User,Organic,156,6816,0,48,126,0
Eindhoven,Netherlands,Europe,/gallery/30-years-cd,Examples,Facebook,344,6880,0,80,248,0
Eragny,France,Europe,/gallery/messi039s-86-goals,Examples,Facebook,296,8480,1,80,304,0.0033
Esztergom,Hungary,Europe,/gallery/messi039s-86-goals,Examples,Facebook,110,2870,2,60,590,0.0034
Eugene,United States,North America,/gallery/messi039s-86-goals,Examples,Facebook,26,1335,0,10,55,0
Folsom,United States,North America,/gallery/30-years-cd,Examples,Linkedin,42,500,0,10,21,0
Fond du Lac,United States,North America,/gallery/messi039s-86-goals,Examples,Facebook,41,435,0,10,38,0
Fredericton,Canada,North America,/gallery/30-years-cd,Examples,Facebook,288,17802,0,60,120,0
Fullerton,United States,North America,/app/6.0/start,User,Facebook,37,1570,0,10,48,0
Gambier,United States,North America,/gallery/30-years-cd,Examples,Linkedin,20,1000,0,10,27,0
Gardanne,France,Europe,/gallery/messi039s-86-goals,Examples,Facebook,192,3088,8,80,192,0.0417
Gardner,United States,North America,/gallery/messi039s-86-goals,Examples,Organic,37,960,0,10,32,0
Gates Mills,United States,North America,/gallery/state-migration,Examples,Facebook,38,820,0,10,25,0
Getzville,United States,North America,/gallery/voting-history-us-states,Examples,Facebook,29,2799,0,10,21,0
Guangzhou,China,Asia,/gallery/voting-history-us-states,Examples,Facebook,376,9440,8,80,368,0.0217
Guelph,Canada,North America,/gallery/voting-history-us-states,Examples,Facebook,276,9960,0,60,234,0
Hackensack,United States,North America,/gallery/voting-history-us-states,Examples,Facebook,40,1520,0,10,52,0
Harrisburg,United States,North America,/download,Register,Facebook,40,178,0,10,24,0
Harrogate,United Kingdom,Europe,/gallery/messi039s-86-goals,Examples,Facebook,156,2532,1,40,148,0.0068
Hartford,United States,North America,/gallery/state-migration,Examples,Linkedin,87,386,0,20,64,0
Heilbronn,Germany,Europe,/gallery/messi039s-86-goals,Examples,Organic,160,4000,1,80,360,0.0028
Histon,United Kingdom,Europe,/gallery/30-years-cd,Examples,Facebook,136,3040,0,40,132,0
Hoboken,United States,North America,/gallery/30-years-cd,Examples,Facebook,27,3254,1,10,26,0.0385
Homestead,United States,North America,/gallery/messi039s-86-goals,Examples,Facebook,26,3195,0,10,36,0
Hong Kong,Hong Kong,Asia,/download,Register,Linkedin,300,32050,0,100,270,0
Hopkins,United States,North America,/gallery/state-migration,Examples,Linkedin,43,1750,1,10,48,0.0208
Horseheads,United States,North America,/gallery/messi039s-86-goals,Examples,Facebook,22,979,0,10,25,0
Houghton,United States,North America,/gallery/messi039s-86-goals,Examples,Organic,48,781,1,10,24,0.0417
Houston,United States,North America,/gallery/messi039s-86-goals,Examples,Organic,16,1110,0,10,57,0
Houston,United States,North America,/gallery/messi039s-86-goals,Examples,Facebook,64,692,0,20,30,0
Huddersfield,United Kingdom,Europe,/gallery/30-years-cd,Examples,Facebook,396,11840,0,80,136,0
Hyderabad,India,Asia,/gallery/messi039s-86-goals,Examples,Facebook,246,10740,0,60,132,0
Illichivsk,Ukraine,Europe,/download,Register,Linkedin,180,4100,2,100,420,0.0048
Iowa City,United States,North America,/gallery/state-migration,Examples,Linkedin,19,178,0,10,35,0
Ipatinga,Brazil,South America,/download,Register,Linkedin,160,13120,1,80,472,0.0021
Ipswich,United States,North America,/gallery/voting-history-us-states,Examples,Organic,12,1630,0,10,26,0
Irvine,United States,North America,/gallery/state-migration,Examples,Facebook,12,4639,0,10,46,0
Istanbul,Turkey,Europe,/gallery/messi039s-86-goals,Examples,Organic,970,9000,2,200,660,0.003
Istanbul,Turkey,Europe,/gallery/30-years-cd,Examples,Facebook,340,16600,1,100,220,0.0045
Jacksonville,United States,North America,/gallery/state-migration,Examples,Facebook,39,1020,0,10,37,0
Jakarta,Indonesia,Asia,/upgrade,User,Organic,400,5500,1,100,440,0.0023
Juiz de Fora,Brazil,South America,/download,Register,Linkedin,192,3800,8,80,360,0.0222
Jyvaskyla,Finland,Europe,/gallery/messi039s-86-goals,Examples,Facebook,160,16600,1,100,490,0.002
Kerteminde,Denmark,Europe,/gallery,Examples,Linkedin,450,2870,1,100,550,0.0018
Killeen,United States,North America,/gallery/us-population-race,Examples,Facebook,24,900,0,10,31,0
Kingston,United States,North America,/gallery/voting-history-us-states,Examples,Facebook,50,1240,0,10,35,0
Laguna Niguel,United States,North America,/gallery/voting-history-us-states,Examples,Facebook,45,722,0,10,22,0
Lake Forest,United States,North America,/gallery/iposvsnasdaq,Examples,Organic,17,307,0,10,57,0
Lake Oswego,United States,North America,/gallery/messi039s-86-goals,Examples,Linkedin,11,860,0,10,57,0
Lancaster,United States,North America,/gallery/us-population-race,Examples,Organic,24,600,1,10,31,0.0323
Lansdale,United States,North America,/gallery/messi039s-86-goals,Examples,Facebook,36,700,0,10,49,0
Las Vegas,United States,North America,/download,Register,Facebook,37,129,0,10,46,0
Las Vegas,United States,North America,/upgrade,User,Facebook,6,257,0,5,28,0
Leeds,United Kingdom,Europe,/comparison,User,Organic,76,4920,0,40,140,0
Leiden,Netherlands,Europe,/gallery/state-migration,Examples,Facebook,168,13688,0,80,448,0
Lelystad,Netherlands,Europe,/gallery/messi039s-86-goals,Examples,Linkedin,360,13200,1,80,256,0.0039
Libertyville,United States,North America,/gallery/state-migration,Examples,Organic,29,1670,0,10,51,0
Liverpool,United Kingdom,Europe,/download,Register,Linkedin,180,396,0,40,220,0
London,United Kingdom,Europe,/gallery/messi039s-86-goals,Examples,Facebook,92,10444,1,80,276,0.0036
London,United Kingdom,Europe,/thanks,User,Linkedin,496,10956,1,132,256,0.0039
London,United Kingdom,Europe,/gallery,Examples,Linkedin,392,872,1,120,244,0.0041
London,United Kingdom,Europe,/knowledgebase/sharing-views,User,Facebook,584,20064,0,132,228,0
London,United Kingdom,Europe,/examples,Training,Organic,60,3600,1,40,212,0.0047
London,United Kingdom,Europe,/how-it-works,User,Facebook,300,436,1,64,208,0.0048
London,United Kingdom,Europe,/gallery,Examples,Organic,184,948,1,40,208,0.0048
London,United Kingdom,Europe,/download,Register,Organic,200,7320,1,40,168,0.006
London,United Kingdom,Europe,/examples,Training,Linkedin,140,5896,1,40,164,0.0061
London,United Kingdom,Europe,/gallery/voting-history-us-states,Examples,Facebook,148,40516,0,40,156,0
London,United Kingdom,Europe,/gallery/30-years-cd,Examples,Facebook,300,7912,0,80,140,0
London,United Kingdom,Europe,/gallery/30-years-cd,Examples,Organic,48,6440,0,40,116,0
London,United Kingdom,Europe,/gallery/state-migration,Examples,Twitter,148,3600,4,40,116,0.0345
London,United Kingdom,Europe,/comparison,User,Organic,112,80,0,40,112,0
London,United Kingdom,Europe,/download,Register,Linkedin,80,632,0,40,108,0
London,United Kingdom,Europe,/how-it-works,User,Linkedin,164,5640,0,40,104,0
London,United Kingdom,Europe,/gallery/30-years-cd,Examples,Linkedin,76,3324,0,40,88,0
Los Angeles,United States,North America,/download,Register,Linkedin,59,327,0,20,70,0
Los Angeles,United States,North America,/gallery/voting-history-us-states,Examples,Facebook,35,1660,0,10,22,0
Lubbock,United States,North America,/gallery/state-migration,Examples,Twitter,28,1290,0,10,44,0
Madison,United States,North America,/gallery/messi039s-86-goals,Examples,Facebook,44,980,0,10,55,0
Madison,United States,North America,/gallery/voting-history-us-states,Examples,Facebook,16,800,0,10,54,0
Madison,United States,North America,/gallery/state-migration,Examples,Facebook,18,1170,0,10,40,0
Madison,United States,North America,/gallery/messi039s-86-goals,Examples,Organic,14,485,0,10,32,0
Madrid,Spain,Europe,/gallery/messi039s-86-goals,Examples,Facebook,688,7200,1,160,264,0.0038
Mahape,India,Asia,/gallery,Examples,Facebook,90,1662,1,60,276,0.0036
Malmo,Sweden,Europe,/gallery,Examples,Facebook,250,1780,2,100,560,0.0036
Manaus,Brazil,South America,/gallery/messi039s-86-goals,Examples,Facebook,232,10240,1,80,248,0.004
Marietta,United States,North America,/gallery/messi039s-86-goals,Examples,Organic,10,1370,0,10,37,0
Maryland Heights,United States,North America,/gallery/30-years-cd,Examples,Facebook,18,1731,0,10,28,0
Maumelle,United States,North America,/gallery/messi039s-86-goals,Examples,Linkedin,42,1550,0,10,37,0
Meadville,United States,North America,/gallery/africa-urban,Examples,Organic,13,1660,0,10,42,0
Medellin,Colombia,South America,/gallery/messi039s-86-goals,Examples,Facebook,420,12070,2,100,500,0.004
Melbourne,Australia,Oceania,/gallery/messi039s-86-goals,Examples,Organic,108,6300,1,60,360,0.0028
Melbourne,Australia,Oceania,/gallery/30-years-cd,Examples,Facebook,180,3798,1,60,318,0.0031
Melbourne,Australia,Oceania,/download,Register,Linkedin,96,888,1,60,318,0.0031
Melbourne,Australia,Oceania,/gallery,Examples,Linkedin,246,6540,0,60,222,0
Melbourne,Australia,Oceania,/gallery/messi039s-86-goals,Examples,Facebook,330,17400,1,120,204,0.0049
Melbourne,Australia,Oceania,/gallery/voting-history-us-states,Examples,Facebook,168,10740,1,60,174,0.0057
Memphis,United States,North America,/knowledgebase/all,User,Organic,7,126,0,3,43,0
Menlo Park,United States,North America,/gallery/messi039s-86-goals,Examples,Facebook,35,1780,0,10,36,0
Mesquite,United States,North America,/gallery,Examples,Linkedin,39,730,0,10,37,0
Mexico City,Mexico,North America,/gallery/30-years-cd,Examples,Linkedin,270,5200,2,100,590,0.0034
Mexico City,Mexico,North America,/gallery/messi039s-86-goals,Examples,Facebook,480,13400,5,260,360,0.0139
Mexico City,Mexico,North America,/gallery/messi039s-86-goals,Examples,Twitter,430,10780,1,123,280,0.0036
Milan,Italy,Europe,/download,Register,Linkedin,120,6488,0,80,200,0
Milpitas,United States,North America,/gallery/30-years-cd,Examples,Linkedin,26,138,0,10,42,0
Milton Keynes,United Kingdom,Europe,/gallery/messi039s-86-goals,Examples,Facebook,200,2176,0,40,192,0
Milwaukee,United States,North America,/gallery/state-migration,Examples,Facebook,39,1290,0,10,30,0
Minato,Japan,Asia,/gallery/messi039s-86-goals,Examples,Linkedin,200,1568,1,56,420,0.0024
Minneapolis,United States,North America,/gallery/state-migration,Examples,Twitter,45,1520,0,10,49,0
Minneapolis,United States,North America,/gallery/messi039s-86-goals,Examples,Linkedin,34,1029,0,10,33,0
Minneapolis,United States,North America,/gallery/30-years-cd,Examples,Twitter,16,7636,0,10,24,0
Minneapolis,United States,North America,/gallery/state-migration,Examples,Facebook,11,600,0,10,23,0
Minneapolis,United States,North America,/gallery/voting-history-us-states,Examples,Facebook,26,2235,0,10,22,0
Minokamo,Japan,Asia,/gallery/all,Examples,Linkedin,270,3000,2,100,490,0.0041
Montreal,Canada,North America,/gallery/voting-history-us-states,Examples,Facebook,180,9420,1,60,300,0.0033
Montreal,Canada,North America,/download,Register,Organic,264,714,1,60,270,0.0037
Montreal,Canada,North America,/gallery,Examples,Linkedin,198,1482,1,60,246,0.0041
Montreal,Canada,North America,/download,Register,Twitter,138,3780,1,60,216,0.0046
Moscow,Russia,Europe,/gallery/messi039s-86-goals,Examples,Linkedin,420,17500,2,210,520,0.0038
Moscow,Russia,Europe,/gallery/30-years-cd,Examples,Facebook,770,113060,10,320,410,0.0244
Mountain View,United States,North America,/gallery/30-years-cd,Examples,Facebook,33,772,0,10,57,0
Mumbai,India,Asia,/gallery/messi039s-86-goals,Examples,Facebook,228,1902,1,60,282,0.0035
Mumbai,India,Asia,/download,Register,Organic,198,1248,1,60,282,0.0035
Mumbai,India,Asia,/gallery/30-years-cd,Examples,Facebook,114,5340,0,60,162,0
Mumbai,India,Asia,/how-it-works,User,Facebook,288,9660,0,60,150,0
Mumbai,India,Asia,/gallery,Examples,Twitter,294,7440,0,60,120,0
Munich,Germany,Europe,/gallery/voting-history-us-states,Examples,Organic,200,6800,0,80,296,0
Munich,Germany,Europe,/gallery/30-years-cd,Examples,Facebook,344,8400,8,80,280,0.0286
Murfreesboro,United States,North America,/gallery/voting-history-us-states,Examples,Linkedin,35,1290,0,10,43,0
Neenah,United States,North America,/gallery,Examples,Organic,20,168,0,10,58,0
Nei-Hu,Taiwan,Asia,/gallery,Examples,Linkedin,290,65080,1,100,230,0.0043
New Delhi,India,Asia,/gallery/messi039s-86-goals,Examples,Linkedin,102,5880,1,60,288,0.0035
New Delhi,India,Asia,/download,Register,Organic,132,828,1,60,240,0.0042
New Delhi,India,Asia,/how-it-works,User,Organic,228,6660,6,60,234,0.0256
New Delhi,India,Asia,/gallery,Examples,Organic,234,17034,0,120,210,0
New Orleans,United States,North America,/gallery/messi039s-86-goals,Examples,Organic,35,10,0,10,32,0
New York,United States,North America,/gallery/messi039s-86-goals,Examples,Facebook,361,346,0,79,96,0
New York,United States,North America,/gallery/30-years-cd,Examples,Organic,31,1700,0,10,55,0
New York,United States,North America,/gallery/state-migration,Examples,Facebook,18,1790,0,10,54,0
New York,United States,North America,/gallery/messi039s-86-goals,Examples,Organic,48,1350,0,10,53,0
New York,United States,North America,/app/6.0/start,User,Organic,31,1420,0,10,51,0
New York,United States,North America,/gallery/voting-history-us-states,Examples,Twitter,36,470,0,10,51,0
New York,United States,North America,/gallery/voting-history-us-states,Examples,Facebook,113,9318,0,30,50,0
New York,United States,North America,/download,Register,Organic,26,406,0,10,48,0
New York,United States,North America,/gallery/voting-history-us-states,Examples,Organic,39,430,1,10,42,0.0238
New York,United States,North America,/gallery/messi039s-86-goals,Examples,Linkedin,38,900,0,10,35,0
New York,United States,North America,/gallery/state-migration,Examples,Linkedin,36,1000,0,20,33,0
New York,United States,North America,/how-it-works,User,Organic,4,712,0,1,33,0
New York,United States,North America,/gallery/state-migration,Examples,Organic,33,762,0,10,30,0
New York,United States,North America,/gallery/30-years-cd,Examples,Facebook,42,1670,0,10,26,0
New York,United States,North America,/download,Register,Facebook,50,188,0,10,22,0
Newcastle,Australia,Oceania,/gallery/messi039s-86-goals,Examples,Organic,228,5820,1,60,246,0.0041
Newton,United States,North America,/gallery/messi039s-86-goals,Examples,Facebook,49,356,0,10,53,0
Newton,United States,North America,/gallery/voting-history-us-states,Examples,Facebook,38,410,0,10,34,0
Nieuwegein,Netherlands,Europe,/gallery/voting-history-us-states,Examples,Facebook,136,5856,1,80,248,0.004
Norcross,United States,North America,/gallery/messi039s-86-goals,Examples,Facebook,29,730,0,10,43,0
North Brunswick,United States,North America,/download,Register,Linkedin,23,267,0,10,40,0
Oakville,Canada,North America,/gallery/messi039s-86-goals,Examples,Organic,198,10140,1,60,192,0.0052
Ocala,United States,North America,/download,Register,Linkedin,32,227,0,10,40,0
Okayama,Japan,Asia,/gallery/30-years-cd,Examples,Facebook,380,2600,1,100,440,0.0023
Oklahoma City,United States,North America,/gallery/messi039s-86-goals,Examples,Facebook,46,550,0,10,43,0
Oklahoma City,United States,North America,/gallery/30-years-cd,Examples,Facebook,31,1530,0,10,35,0
Omaha,United States,North America,/gallery,Examples,Organic,33,1110,0,10,40,0
Ottawa,Canada,North America,/gallery/messi039s-86-goals,Examples,Facebook,60,5040,1,60,324,0.0031
Overland Park,United States,North America,/gallery/voting-history-us-states,Examples,Organic,17,910,0,10,38,0
Owings Mills,United States,North America,/gallery/messi039s-86-goals,Examples,Facebook,43,590,1,10,24,0.0417
Padova,Italy,Europe,/gallery/30-years-cd,Examples,Linkedin,280,3008,8,80,336,0.0238
Palo Alto,United States,North America,/gallery/state-migration,Examples,Twitter,33,247,0,10,24,0
Paris,France,Europe,/gallery/30-years-cd,Examples,Facebook,208,9024,1,80,392,0.0026
Paris,France,Europe,/gallery/messi039s-86-goals,Examples,Organic,304,12960,1,80,368,0.0027
Paris,France,Europe,/gallery,Examples,Organic,320,10480,1,80,248,0.004
Park City,United States,North America,/gallery/30-years-cd,Examples,Linkedin,12,1800,0,10,36,0
Pearl River,United States,North America,/gallery/30-years-cd,Examples,Organic,28,415,0,10,26,0
Petaling Jaya,Malaysia,Asia,/gallery/messi039s-86-goals,Examples,Facebook,390,4800,1,100,240,0.0042
Pforzheim,Germany,Europe,/gallery/30-years-cd,Examples,Facebook,104,13520,1,80,384,0.0026
Philadelphia,United States,North America,/download,Register,Twitter,43,890,0,10,34,0
Phoenix,United States,North America,/knowledgebase/sharing-views,User,Linkedin,61,16340,0,26,63,0
Placentia,United States,North America,/gallery/messi039s-86-goals,Examples,Organic,44,643,0,10,54,0
Pontypridd,United Kingdom,Europe,/download,Register,Linkedin,220,32088,1,80,228,0.0044
Portland,United States,North America,/gallery/messi039s-86-goals,Examples,Linkedin,15,1760,0,10,21,0
Raleigh,United States,North America,/download,Register,Linkedin,25,376,1,10,38,0.0263
Raritan,United States,North America,/knowledgebase/all?page=1,User,Organic,60,5519,0,18,42,0
Raritan,United States,North America,/knowledgebase/all,User,Organic,50,415,0,14,34,0
Renton,United States,North America,/gallery/30-years-cd,Examples,Linkedin,33,470,0,10,29,0
Ribeirao Preto,Brazil,South America,/gallery/30-years-cd,Examples,Linkedin,264,10240,1,80,288,0.0035
Richardson,United States,North America,/gallery/state-migration,Examples,Linkedin,30,1370,1,10,45,0.0222
Richardson,United States,North America,/gallery/messi039s-86-goals,Examples,Facebook,28,590,0,10,31,0
Richland,United States,North America,/gallery/voting-history-us-states,Examples,Facebook,50,1760,0,10,44,0
Richmond,United States,North America,/gallery/state-migration,Examples,Facebook,13,24046,0,10,39,0
Ridgefield,United States,North America,/gallery/messi039s-86-goals,Examples,Facebook,41,366,0,10,21,0
Rimini,Italy,Europe,/gallery/voting-history-us-states,Examples,Linkedin,224,10000,1,80,280,0.0036
Rio de Janeiro,Brazil,South America,/download,Register,Linkedin,248,552,1,160,240,0.0042
Rockville,United States,North America,/gallery/30-years-cd,Examples,Facebook,18,781,0,10,57,0
Roswell,United States,North America,/knowledgebase/sharing-views,User,Facebook,61,4350,0,25,62,0
Roswell,United States,North America,/gallery/messi039s-86-goals,Examples,Linkedin,15,574,0,10,49,0
Rotterdam,Netherlands,Europe,/how-it-works,User,Organic,1192,472,1,264,472,0.0021
Round Rock,United States,North America,/gallery/state-migration,Examples,Facebook,135,14253,0,30,68,0
Sacramento,United States,North America,/faq,User,Organic,47,1250,0,10,55,0
Salt Lake City,United States,North America,/gallery/state-migration,Examples,Linkedin,42,138,0,10,60,0
Salt Lake City,United States,North America,/gallery/state-migration,Examples,Facebook,31,257,0,10,34,0
San Antonio,United States,North America,/gallery/state-migration,Examples,Organic,47,2760,0,20,61,0
San Antonio,United States,North America,/gallery/messi039s-86-goals,Examples,Facebook,46,267,0,10,21,0
San Diego,United States,North America,/gallery/messi039s-86-goals,Examples,Organic,23,10960,0,10,59,0
San Diego,United States,North America,/gallery/state-migration,Examples,Organic,25,1400,0,10,28,0
San Francisco,United States,North America,/gallery/messi039s-86-goals,Examples,Facebook,107,4590,0,30,48,0
San Francisco,United States,North America,/gallery/30-years-cd,Examples,Facebook,92,3460,0,20,46,0
San Francisco,United States,North America,/gallery/state-migration,Examples,Linkedin,11,890,0,10,46,0
San Francisco,United States,North America,/thanks,User,Facebook,25,1472,0,16,38,0
San Francisco,United States,North America,/download,Register,Linkedin,42,218,0,10,26,0
San Francisco,United States,North America,/faq,User,Organic,47,9080,0,10,26,0
San Marcos,United States,North America,/gallery/state-migration,Examples,Facebook,22,1800,1,10,35,0.0286
San Mateo,United States,North America,/gallery/messi039s-86-goals,Examples,Organic,42,475,0,10,20,0
San Nicolas de Los Garza,Mexico,North America,/gallery/messi039s-86-goals,Examples,Linkedin,140,11300,1,100,530,0.0019
San Nicolas de Los Garza,Mexico,North America,/gallery/messi039s-86-goals,Examples,Facebook,440,7620,0,230,490,0
San Nicolas de Los Garza,Mexico,North America,/gallery/30-years-cd,Examples,Linkedin,110,26010,0,60,210,0
Santa Clara,United States,North America,/gallery/messi039s-86-goals,Examples,Facebook,23,950,0,10,59,0
Santiago,Chile,South America,/gallery/messi039s-86-goals,Examples,Facebook,980,93370,2,200,640,0.0031
Santiago,Chile,South America,/gallery/voting-history-us-states,Examples,Facebook,400,12200,1,100,500,0.002
Sao Paulo,Brazil,South America,/gallery/messi039s-86-goals,Examples,Twitter,600,9816,2,160,552,0.0036
Sao Paulo,Brazil,South America,/gallery/voting-history-us-states,Examples,Facebook,336,105560,0,80,272,0
Scottdale,United States,North America,/how-it-works,User,Facebook,70,1711,0,29,60,0
Seattle,United States,North America,/gallery/state-migration,Examples,Linkedin,126,3136,1,50,170,0.0059
Seattle,United States,North America,/gallery/messi039s-86-goals,Examples,Linkedin,107,564,0,30,95,0
Seattle,United States,North America,/gallery/messi039s-86-goals,Examples,Facebook,94,791,0,30,73,0
Seattle,United States,North America,/how-it-works,User,Organic,45,1020,0,10,54,0
Seattle,United States,North America,/gallery/state-migration,Examples,Organic,90,3520,1,20,48,0.0208
Seattle,United States,North America,/examples,Training,Linkedin,21,89,0,10,44,0
Seattle,United States,North America,/gallery/state-migration,Examples,Facebook,82,2710,1,20,35,0.0286
Seattle,United States,North America,/gallery/voting-history-us-states,Examples,Linkedin,37,168,0,10,35,0
Seattle,United States,North America,/gallery/state-migration,Examples,Twitter,40,680,0,10,34,0
Seattle,United States,North America,/gallery/30-years-cd,Examples,Linkedin,28,1570,0,10,24,0
Seattle,United States,North America,/gallery/voting-history-us-states,Examples,Facebook,27,9624,0,10,22,0
Seattle,United States,North America,/download,Register,Linkedin,46,109,0,10,21,0
Seattle,United States,North America,/gallery/messi039s-86-goals,Examples,Organic,19,20,0,10,21,0
Sedona,United States,North America,/gallery/30-years-cd,Examples,Facebook,47,1039,0,10,52,0
Sedona,United States,North America,/gallery/messi039s-86-goals,Examples,Facebook,95,653,0,20,38,0
Seoul,South Korea,Asia,/examples?build=7000.12.1122.2200,Training,Organic,200,4450,2,100,460,0.0043
Seoul,South Korea,Asia,/gallery,Examples,Linkedin,360,15200,1,100,230,0.0043
Shallotte,United States,North America,/gallery/us-population-race,Examples,Organic,15,1080,0,10,58,0
Shibuya,Japan,Asia,/gallery/messi039s-86-goals,Examples,Facebook,150,1674,1,62,340,0.0029
Shinjuku,Japan,Asia,/gallery/netflix-selector,Examples,Facebook,340,2480,1,80,460,0.0022
Shreveport,United States,North America,/gallery/which-country-uses-most-oil,Examples,Organic,38,900,0,10,35,0
Singapore,Singapore,Asia,/gallery/messi039s-86-goals,Examples,Facebook,370,8200,1,100,510,0.002
Singapore,Singapore,Asia,/gallery/30-years-cd,Examples,Facebook,210,15500,1,100,290,0.0034
Sint-Truiden,Belgium,Europe,/gallery/messi039s-86-goals,Examples,Organic,330,6900,2,100,530,0.0038
South Ozone Park,United States,North America,/gallery/voting-history-us-states,Examples,Linkedin,49,2038,0,10,53,0
Springfield,United States,North America,/gallery/messi039s-86-goals,Examples,Facebook,37,1424,0,10,57,0
St Louis,United States,North America,/gallery/state-migration,Examples,Organic,42,188,0,10,33,0
St Petersburg,Russia,Europe,/gallery/30-years-cd,Examples,Facebook,320,9000,2,100,400,0.005
